Make,Model,Fuel type,Capacity,YoM,Mileage,Consumption,Country of manufacture,Body type,Service cost
JAGUAR,XK,Premium,4.0L,2000,7.7 km/L,13.1 L/100km,UK,Minicompact Cars,"KES 2,050,000/year"
JAGUAR,S-Type,Premium,3.0L,2000,8.1 km/L,12.4 L/100km,UK,Midsize Cars,"KES 1,055,000/year"
JAGUAR,Vanden Plas,Premium,4.0L,2000,7.7 km/L,13.1 L/100km,UK,Midsize Cars,"KES 1,580,000/year"
JAGUAR,XK8,Premium,4.0L,2000,7.7 km/L,13.1 L/100km,UK,Minicompact Cars,"KES 2,200,000/year"
JAGUAR,XJR,Premium,4.0L,2000,6.8 km/L,14.7 L/100km,UK,Compact Cars,"KES 1,735,000/year"
JAGUAR,XJ8,Premium,4.0L,2000,7.7 km/L,13.1 L/100km,UK,Compact Cars,"KES 1,900,000/year"
JAGUAR,XK,Premium,4.0L,2001,7.7 km/L,13.1 L/100km,UK,Minicompact Cars,"KES 1,525,000/year"
JAGUAR,S-Type,Premium,3.0L,2001,7.7 km/L,13.1 L/100km,UK,Midsize Cars,"KES 1,030,000/year"
JAGUAR,Vanden Plas,Premium,4.0L,2001,7.7 km/L,13.1 L/100km,UK,Midsize Cars,"KES 1,340,000/year"
JAGUAR,XK8,Premium,4.0L,2001,7.7 km/L,13.1 L/100km,UK,Minicompact Cars,"KES 2,045,000/year"
JAGUAR,XJR,Premium,4.0L,2001,6.8 km/L,14.7 L/100km,UK,Compact Cars,"KES 1,435,000/year"
JAGUAR,XJ8,Premium,4.0L,2001,7.7 km/L,13.1 L/100km,UK,Compact Cars,"KES 1,780,000/year"
JAGUAR,XJ,Premium,4.0L,2002,7.7 km/L,13.1 L/100km,UK,Compact Cars,"KES 1,115,000/year"
JAGUAR,XK,Premium,4.0L,2002,7.7 km/L,13.1 L/100km,UK,Minicompact Cars,"KES 1,650,000/year"
JAGUAR,X-Type,Premium,2.5L,2002,8.1 km/L,12.4 L/100km,UK,Compact Cars,"KES 1,380,000/year"
JAGUAR,S-Type,Premium,3.0L,2002,7.7 km/L,13.1 L/100km,UK,Midsize Cars,"KES 950,000/year"
JAGUAR,Vanden Plas,Premium,4.0L,2002,7.7 km/L,13.1 L/100km,UK,Midsize Cars,"KES 2,130,000/year"
JAGUAR,XK8,Premium,4.0L,2002,7.7 km/L,13.1 L/100km,UK,Minicompact Cars,"KES 1,050,000/year"
JAGUAR,XJR,Premium,4.0L,2002,6.8 km/L,14.7 L/100km,UK,Compact Cars,"KES 1,220,000/year"
JAGUAR,XJ8,Premium,4.0L,2002,7.7 km/L,13.1 L/100km,UK,Compact Cars,"KES 1,580,000/year"
JAGUAR,XJ,Premium,4.0L,2003,7.7 km/L,13.1 L/100km,UK,Compact Cars,"KES 1,385,000/year"
JAGUAR,XK,Premium,4.2L,2003,8.1 km/L,12.4 L/100km,UK,Minicompact Cars,"KES 1,960,000/year"
JAGUAR,X-Type,Premium,2.5L,2003,8.1 km/L,12.4 L/100km,UK,Compact Cars,"KES 1,485,000/year"
JAGUAR,S-Type,Premium,3.0L,2003,8.1 km/L,12.4 L/100km,UK,Midsize Cars,"KES 1,125,000/year"
JAGUAR,Vanden Plas,Premium,4.0L,2003,7.7 km/L,13.1 L/100km,UK,Midsize Cars,"KES 1,965,000/year"
JAGUAR,XK8,Premium,4.2L,2003,8.1 km/L,12.4 L/100km,UK,Minicompact Cars,"KES 1,545,000/year"
JAGUAR,XJR,Premium,4.0L,2003,6.8 km/L,14.7 L/100km,UK,Compact Cars,"KES 1,755,000/year"
JAGUAR,XJ8,Premium,4.0L,2003,7.7 km/L,13.1 L/100km,UK,Compact Cars,"KES 1,160,000/year"
JAGUAR,XJ,Premium,4.2L,2004,8.1 km/L,12.4 L/100km,UK,Large Cars,"KES 1,560,000/year"
JAGUAR,XK,Premium,4.2L,2004,8.1 km/L,12.4 L/100km,UK,Minicompact Cars,"KES 1,105,000/year"
JAGUAR,X-Type,Premium,2.5L,2004,8.1 km/L,12.4 L/100km,UK,Compact Cars,"KES 700,000/year"
JAGUAR,S-Type,Premium,3.0L,2004,8.1 km/L,12.4 L/100km,UK,Midsize Cars,"KES 875,000/year"
JAGUAR,Vanden Plas,Premium,4.2L,2004,8.1 km/L,12.4 L/100km,UK,Minicompact Cars,"KES 1,505,000/year"
JAGUAR,XK8,Premium,4.2L,2004,8.1 km/L,12.4 L/100km,UK,Minicompact Cars,"KES 1,070,000/year"
JAGUAR,XJR,Premium,4.2L,2004,7.7 km/L,13.1 L/100km,UK,Large Cars,"KES 1,740,000/year"
JAGUAR,XJ,Premium,4.2L,2005,8.1 km/L,12.4 L/100km,UK,Large Cars,"KES 1,840,000/year"
JAGUAR,XK,Premium,4.2L,2005,8.1 km/L,12.4 L/100km,UK,Minicompact Cars,"KES 1,745,000/year"
JAGUAR,X-Type,Premium,2.5L,2005,8.1 km/L,12.4 L/100km,UK,Compact Cars,"KES 1,135,000/year"
JAGUAR,S-Type,Premium,3.0L,2005,8.1 km/L,12.4 L/100km,UK,Midsize Cars,"KES 745,000/year"
JAGUAR,XJR,Premium,4.2L,2005,7.7 km/L,13.1 L/100km,UK,Large Cars,"KES 1,045,000/year"
JAGUAR,XJ,Premium,4.2L,2006,8.1 km/L,12.4 L/100km,UK,Large Cars,"KES 1,585,000/year"
JAGUAR,XK,Premium,4.2L,2006,8.1 km/L,12.4 L/100km,UK,Minicompact Cars,"KES 910,000/year"
JAGUAR,X-Type,Premium,3.0L,2006,7.7 km/L,13.1 L/100km,UK,Compact Cars,"KES 675,000/year"
JAGUAR,S-Type,Premium,3.0L,2006,8.5 km/L,11.8 L/100km,UK,Midsize Cars,"KES 700,000/year"
JAGUAR,XJR,Premium,4.2L,2006,7.7 km/L,13.1 L/100km,UK,Large Cars,"KES 1,315,000/year"
JAGUAR,XJ,Premium,4.2L,2007,8.1 km/L,12.4 L/100km,UK,Large Cars,"KES 1,195,000/year"
JAGUAR,XK,Premium,4.2L,2007,8.1 km/L,12.4 L/100km,UK,Minicompact Cars,"KES 920,000/year"
